"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","logP"
"Clec2e","0.128291706633318","-1.54905597570668","5.35721675766434","0.772464199868569",NA,"0.1"
"Clec2g","0.0833135460790007","-0.620519538884209","5.34991738928952","0.907663041680491",NA,"0"
"Clec2h","0.875904311853649","0.73839918639981","3.89909364675545","0.849797243334901",NA,"0.1"
"Clec2l","34.1724340626197","1.00513642603215","0.763695818366162","0.188124503854816","0.681447082899048","0.7"
"Clec4a2","1.84358665295496","1.16508915058566","2.49746991344658","0.640852078432054",NA,"0.2"
"Clec5a","0.340212976872308","0.286026504552376","5.32886242716162","0.957194129034174",NA,"0"
"Clec7a","0.580318702788072","-3.57285550956224","4.42259597623574","0.419168951061463",NA,"0.4"
"Clgn","11.1945842216976","-0.0158309118436593","1.18001041650875","0.989295974791403","0.99828756440428","0"
"Clic1","6.37205574386609","-2.34314905068263","1.55463515344843","0.131758914461799","0.614535786370092","0.9"
"Clic3","2.24791006052452","3.6578708166045","2.29602465328295","0.111130536188093",NA,"1"
"Clic4","24.689082256624","0.432670755221219","1.12009804954768","0.699289786508327","0.937213826296663","0.2"
"Clic5","1.81643944633781","2.29090364508787","2.975543623981","0.441352712682615",NA,"0.4"
"Clic6","0.167592350240251","-1.54878129702388","5.35722653856448","0.772503838755212",NA,"0.1"
"Clint1","57.808701076536","-0.657424102125354","0.626282000940485","0.293844398251134","0.76193699313715","0.5"
"Clip1","145.654000206292","0.303948980704364","0.468549911327171","0.516531403094693","0.876238668969558","0.3"
"Clip2","147.278625468917","0.0469884271014698","0.509329673366774","0.926495100446459","0.986501846020378","0"
"Clip3","408.835110042214","-0.193345540913158","0.288267596223658","0.502401795583239","0.873099795649133","0.3"
"Clip4","70.9930905054106","1.98156821685213e-05","0.544194579548235","0.99997094673954","0.99997094673954","0"
"Clk1","90.5248539682749","-1.30552595705974","0.693875431719275","0.0599040660576124","0.484581105787471","1.2"
"Clk2","39.257223566537","-0.839824287928263","0.606402212503612","0.166074038219752","0.656742118063714","0.8"
