"","gene","pvalue","lfc","padj","direction"
"12388","Rpp14",0.0208088604238324,0.193889869045423,0.95321559633208,"neither"
"12389","Rpp21",0.029902413702171,-0.424767574738351,0.933464027304641,"neither"
"12390","Rpp25",0.307941858837929,1.96647944803552,0.49210541187053,"neither"
"12391","Rpp25l",0.103343972097434,1.16188298069123,0.788235568027099,"neither"
"12392","Rpp30",0.197378238166587,1.34688374202085,0.634777846784526,"neither"
"12394","Rpp40",0.3269294304589,-2.24499052462847,0.471053862838642,"neither"
"12395","Rprd1a",0.0237556850308349,-0.128485571329895,0.946769622519583,"neither"
"12396","Rprd1b",0.358973105852605,1.11118540376289,0.437549200018578,"neither"
"12397","Rprd2",0.287165697565742,-0.846832586695377,0.516219377099102,"neither"
"12398","Rprm",0.0198644372971309,-0.440219246037802,0.955290728385701,"neither"
"12399","Rprml",0.141647973736922,-0.6075564400892,0.721692224535909,"neither"
"12400","Rps10",0.357655878243612,1.04669534403864,0.438878313882197,"neither"
"12401","Rps11",0.172103878619383,0.470361368995165,0.672815706677773,"neither"
"12402","Rps12",0.0612794027334915,3.30119880448609,0.868401564629199,"neither"
"12403","Rps12-ps3",0.355867701131789,0.850760207938701,0.440689089914685,"neither"
"12404","Rps13",0.287721450678581,0.853865084819118,0.51555920973912,"neither"
"12405","Rps14",0.525782479986441,0.832733837897529,0.298000861788195,"neither"
"12406","Rps15",0.645960604246317,0.897895029879544,0.225964073762475,"neither"
"12407","Rps15a",0.526135195602541,0.660348232103585,0.297758936341925,"neither"
"12408","Rps16",0.484441952471823,0.964196261419013,0.327761582285203,"neither"
"12409","Rps17",0.373242955341655,0.96110458228122,0.423406035714445,"neither"
"12410","Rps18",0.525126958870673,0.913061179557731,0.298451001881192,"neither"
"12411","Rps19",0.351308410640659,0.902873650170215,0.445339881638091,"neither"
"12412","Rps19bp1",0.226582778353173,-1.17518574110779,0.593495214728039,"neither"
"12413","Rps2",0.384272615834815,0.746857582631358,0.412788304694492,"neither"
"12415","Rps20",0.846404491742109,1.16128840529671,0.142428043410806,"neither"
"12416","Rps21",0.831108557892059,1.0850027630985,0.147533770618542,"neither"
"12417","Rps23",0.287165697565742,0.709790399498122,0.516219377099102,"neither"
"12418","Rps24",0.241841459338786,0.745670400218328,0.573005170274514,"neither"
"12419","Rps25",0.296587620607897,0.777285020104146,0.50514072054544,"neither"
"12420","Rps26",0.230339103337558,0.759683371538214,0.588384057268612,"neither"
"12421","Rps27",2.01818160006105,1.29309821073506,0.00958999542395362,"DISS"
"12422","Rps27a",1.02997383796843,1.12866857453852,0.0933310522013055,"DISS"
"12423","Rps27l",0.0208088604238324,-0.408261848857966,0.95321559633208,"neither"
"12425","Rps28",0.858456869925513,1.2213044086829,0.138529775393671,"neither"
"12426","Rps29",0.58313431423254,1.08671807142412,0.261135361629972,"neither"
"12427","Rps3",1.65466827847384,0.870986153749519,0.0221478575480087,"neither"
"12428","Rps3a1",0.623093321349149,0.903150032361487,0.238180761071963,"neither"
"12429","Rps4x",1.80932955691003,0.981265220821206,0.01551209454573,"neither"
