"","gene","pvalue","lfc","padj","direction"
"50","Cacng8",1.24869891925396,1.06628001869673,0.0564028541020654,"CA1"
"185","Itgb8",1.24947697991553,-1.72629748449345,0.0563018959819287,"DG"
"17","Aifm3",1.25082509729164,-1.53141813791674,0.0561273971473124,"DG"
"379","Soga3",1.25082509729164,1.10228095997246,0.0561273971473124,"CA1"
"420","Trpc4",1.25082509729164,1.88676939952686,0.0561273971473124,"CA1"
"19","Alcam",1.25594018866047,1.52746245283072,0.0554702101658698,"CA1"
"283","Pgbd5",1.25594018866047,-1.13093484179533,0.0554702101658698,"DG"
"155","Gnal",1.29103246455023,-1.35694030310542,0.0511643587530062,"DG"
"200","Kitl",1.29103246455023,-2.5973996234599,0.0511643587530062,"DG"
"362","Shisa9",1.29103246455023,-2.30008621512859,0.0511643587530062,"DG"
"295","Pllp",1.29314422723442,-1.94862299550772,0.050916175266039,"DG"
"52","Cald1",1.29715969731345,-2.51174275397118,0.0504475759314964,"DG"
"188","Jade2",1.29715969731345,1.39003984595401,0.0504475759314964,"CA1"
"397","Syt14",1.29715969731345,1.517006487407,0.0504475759314964,"CA1"
"232","Mbnl1",1.31410402978828,1.25655438417354,0.0485172269318646,"CA1"
"416","Trabd",1.31710608691883,-1.74323692676139,0.0481830084610435,"DG"
"131","Far2",1.31850483571934,2.35045215609398,0.0480280732449534,"CA1"
"345","Runx1t1",1.32554882784073,2.80188116107386,0.0472553704576545,"CA1"
"251","Ncald",1.33540935894746,-3.64868632831451,0.046194539387437,"DG"
"66","Ccnl1",1.34670291363592,-1.3185902745618,0.0450087639544932,"DG"
"129","Fam210b",1.34670291363592,1.58763091808476,0.0450087639544932,"CA1"
"248","Myt1",1.34670291363592,-2.0990372550761,0.0450087639544932,"DG"
"399","Tbc1d8b",1.34670291363592,-3.27128596202113,0.0450087639544932,"DG"
"138","Frmpd3",1.37898624104802,2.14217905796456,0.0417843604206055,"CA1"
"238","Megf9",1.37898624104802,1.21616127848367,0.0417843604206055,"CA1"
"156","Gpr161",1.37927448238441,5.73610728560986,0.0417566373329828,"CA1"
"308","Prkacb",1.38484032835309,-1.15970786515742,0.0412249057718638,"DG"
"302","Ppfibp1",1.38559294767643,-2.40131175057023,0.0411535261127505,"DG"
"195","Kcnn2",1.39491953596865,1.7507023512955,0.0402791654748839,"CA1"
"219","Mag",1.41014513866792,-2.1634298122833,0.0388915150112255,"DG"
"417","Trf",1.41014513866792,-1.49885267312732,0.0388915150112255,"DG"
"249","Myt1l",1.41668248214033,1.08275753683685,0.0383104733378178,"CA1"
"41","Bcr",1.43199576762813,2.04386769418777,0.0369831783920028,"CA1"
"199","Kit",1.43199576762813,2.47749872775211,0.0369831783920028,"CA1"
