"","gene","pvalue","lfc","padj","color"
"11249","Pptc7",0.113917077469571,-0.432296627336139,0.769277309137519,"none"
"11250","Ppwd1",0.455376825987583,2.04289893086902,0.350447667700579,"none"
"11251","Pqbp1",5.33926433591039e-05,-0.00296945884635565,0.999877066452274,"none"
"11252","Pqlc1",0.125154459745845,0.530441663118409,0.749627551848501,"none"
"11253","Pqlc2",0.24998447498379,1.42999523929361,0.562361427942283,"none"
"11255","Pradc1",0.138687034268004,-1.23201574563394,0.726629399919207,"none"
"11256","Praf2",0.00275345018148963,0.0306802493671603,0.993680002388806,"none"
"11258","Pramef8",0.0641806280893531,0.569473331757817,0.862619699654782,"none"
"11262","Prcc",0.000710203028999258,0.0121407645430407,0.998366033471666,"none"
"11263","Prcp",0.0264049437855883,0.388719745798398,0.941011771470515,"none"
"11265","Prdm10",0.0679349222618539,-0.534332634233581,0.85519485169221,"none"
"11266","Prdm11",0.0219192460647815,0.188517776732861,0.950781568214844,"none"
"11268","Prdm15",0.230165903928848,-1.17287258951683,0.588618755378988,"none"
"11269","Prdm16",0.0658976995979028,-0.738368912759225,0.85921589059626,"none"
"11270","Prdm2",0.0705984415685006,-0.364323353234562,0.849966009480143,"none"
"11271","Prdm4",0.351213052854396,-1.50883156240483,0.445437675392201,"none"
"11272","Prdm5",1.16372185153898,3.5869133752383,0.0685927395205018,"DISS"
"11273","Prdm8",0.204863108531214,1.4885896255657,0.62393147034524,"none"
"11274","Prdm9",0.0171846796221632,0.348130820987897,0.961203448785974,"none"
"11275","Prdx1",0.25009926437416,0.621934560521465,0.562212808519683,"none"
"11276","Prdx2",0.0057880073131585,0.0422376634554482,0.986761036941152,"none"
"11277","Prdx3",0.00243806227856753,-0.0359094859118131,0.994401882328604,"none"
"11278","Prdx4",0.228950153514577,1.78058389967812,0.590268824845447,"none"
"11279","Prdx5",0.19721018089894,0.508410070578386,0.635023531862714,"none"
"11280","Prdx6",0.904235283339276,0.972071714644518,0.124670791488582,"none"
"11281","Preb",0.012688075562708,-0.0667827004307275,0.971207269485846,"none"
"11282","Prelid1",0.496306938172701,0.780456472966919,0.318928302859195,"none"
"11283","Prelp",0.0211337426096087,-0.25614818290522,0.952502792057077,"none"
"11284","Prep",0.430994125208303,-1.40686698635315,0.370685736091637,"none"
"11285","Prepl",0.783689454568951,-0.780994147558943,0.164554796367655,"none"
"11286","Prex1",0.190723320107128,0.575631219881242,0.644579782976801,"none"
"11287","Prex2",0.00410109745019798,-0.0509861607473311,0.99060132044518,"none"
"11290","Prickle1",0.0436850604285484,0.22831770286026,0.904305015538771,"none"
"11291","Prickle2",0.385273583636393,-0.56228694721301,0.411838000179343,"none"
"11298","Prkaa1",0.126237780566757,-0.63184128880468,0.747759982354465,"none"
"11299","Prkaa2",0.124623909068323,-0.543875283762426,0.750543885012293,"none"
"11300","Prkab1",0.0145878947995606,0.193842063423627,0.966968006778437,"none"
"11301","Prkab2",0.25009926437416,-0.659778488996431,0.562212808519683,"none"
"11302","Prkaca",0.0492041378809719,-0.210279687262522,0.892885688767615,"none"
"11303","Prkacb",0.0907434475345986,0.300422773064194,0.811440261555021,"none"
"11304","Prkag1",0.00685843031017003,0.0580411934733154,0.984331922305099,"none"
"11305","Prkag2",0.0374205439579599,-0.175166930771423,0.917443770317158,"none"
"11307","Prkar1a",0.0120628070902281,0.0369220125985044,0.972606556539314,"none"
